,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_AdjClose,BTC_Volume,ST_Open,ST_High,ST_Low,ST_Close,ST_AdjClose,ST_Volume,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),EU/US_Open,EU/US_High,EU/US_Low,EU/US_Close,EU/US_AdjClose,EU/US_Volume
0,2014-09-17,359.54620361328125,361.468505859375,351.5868835449219,355.9573669433594,355.9573669433594,16389166,1999.300048828125,2010.739990234375,1993.2900390625,2001.5699462890625,2001.5699462890625,3209420000.0,1236.5,1236.0,758.729,756.519,954.237,953.704,1.2959076166152954,1.2979999780654907,1.294089674949646,1.2959076166152954,1.2959076166152954,0.0
1,2014-09-18,355.5884094238281,355.5054016113281,319.7894592285156,328.53936767578125,328.53936767578125,26691849,2003.0699462890625,2012.3399658203125,2003.0699462890625,2011.3599853515625,2011.3599853515625,3235340000.0,1223.0,1220.5,749.985,744.571,949.608,946.491,1.2850167751312256,1.2926894426345825,1.2850167751312256,1.285000205039978,1.285000205039978,0.0
2,2014-09-19,328.27850341796875,330.93670654296875,298.9210205078125,307.7611389160156,307.7611389160156,29560103,2012.739990234375,2019.260009765625,2006.5899658203125,2010.4000244140625,2010.4000244140625,4880220000.0,1222.5,1219.75,745.381,746.344,949.22,948.853,1.2921398878097534,1.2929586172103882,1.283202886581421,1.2920063734054565,1.2920063734054565,0.0
3,2014-09-20,307.6652526855469,329.9781799316406,303.9312438964844,318.75897216796875,318.75897216796875,28736826,,,,,,,,,,,,,,,,,,
4,2014-09-21,318.1205139160156,321.5045166015625,306.502197265625,310.6324462890625,310.6324462890625,20702625,,,,,,,,,,,,,,,,,,
5,2014-09-22,310.8497619628906,316.4691162109375,309.1708984375,312.9587707519531,312.9587707519531,18776342,2009.0799560546875,2009.0799560546875,1991.010009765625,1994.2900390625,1994.2900390625,3349670000.0,1214.0,1213.5,743.508,742.293,944.747,945.314,1.2840760946273804,1.286900281906128,1.2819527387619019,1.2841421365737915,1.2841421365737915,0.0
6,2014-09-23,312.9120788574219,343.7043762207031,307.3438720703125,339.18975830078125,339.18975830078125,35102351,1992.780029296875,1995.4100341796875,1982.77001953125,1982.77001953125,1982.77001953125,3279350000.0,1225.0,1222.0,748.092,746.26,951.013,948.758,1.2852975130081177,1.289929747581482,1.284589171409607,1.2851488590240479,1.2851488590240479,0.0
7,2014-09-24,339.15863037109375,339.30755615234375,327.88226318359375,331.25,331.25,23972840,1983.3399658203125,1999.7900390625,1978.6300048828125,1998.300048828125,1998.300048828125,3313850000.0,1224.0,1217.25,746.114,744.313,952.826,952.465,1.2850992679595947,1.2863903045654297,1.277550458908081,1.2853965759277344,1.2853965759277344,0.0
8,2014-09-25,331.2116394042969,331.4446716308594,321.2269592285156,322.6766052246094,322.6766052246094,21022658,1997.3199462890625,1997.3199462890625,1965.989990234375,1965.989990234375,1965.989990234375,3273050000.0,1210.5,1213.75,742.046,743.036,950.605,953.382,1.2779062986373901,1.2784944772720337,1.2705398797988892,1.2778083086013794,1.2778083086013794,0.0
9,2014-09-26,322.5628967285156,325.3394775390625,314.1020812988281,318.8968505859375,318.8968505859375,16922252,1966.219970703125,1986.3699951171875,1966.219970703125,1982.8499755859375,1982.8499755859375,2929440000.0,1222.25,1213.75,749.111,746.097,958.703,955.709,1.2757054567337036,1.2760473489761353,1.2681503295898438,1.2757054567337036,1.2757054567337036,0.0
10,2014-09-27,318.2116394042969,320.6300048828125,313.33544921875,315.0291748046875,315.0291748046875,11850891,,,,,,,,,,,,,,,,,,
11,2014-09-28,314.99053955078125,316.2095947265625,295.2145080566406,297.5787048339844,297.5787048339844,18629822,,,,,,,,,,,,,,,,,,
